"","elevation","lon","lat"
"1",-208,-129.227083333333,51.1604166666667
"2",-203,-129.222916666667,51.1604166666667
"3",-199,-129.21875,51.1604166666667
"4",-196,-129.214583333333,51.1604166666667
"5",-195,-129.210416666667,51.1604166666667
"6",-193,-129.20625,51.1604166666667
"7",-192,-129.202083333333,51.1604166666667
"8",-190,-129.197916666667,51.1604166666667
"9",-183,-129.19375,51.1604166666667
"10",-177,-129.189583333333,51.1604166666667
"11",-222,-129.227083333333,51.1645833333333
"12",-214,-129.222916666667,51.1645833333333
"13",-207,-129.21875,51.1645833333333
"14",-202,-129.214583333333,51.1645833333333
"15",-199,-129.210416666667,51.1645833333333
"16",-196,-129.20625,51.1645833333333
"17",-194,-129.202083333333,51.1645833333333
"18",-193,-129.197916666667,51.1645833333333
"19",-189,-129.19375,51.1645833333333
"20",-184,-129.189583333333,51.1645833333333
"21",-239,-129.227083333333,51.16875
"22",-233,-129.222916666667,51.16875
"23",-223,-129.21875,51.16875
"24",-215,-129.214583333333,51.16875
"25",-208,-129.210416666667,51.16875
"26",-203,-129.20625,51.16875
"27",-199,-129.202083333333,51.16875
"28",-196,-129.197916666667,51.16875
"29",-195,-129.19375,51.16875
"30",-193,-129.189583333333,51.16875
"31",-256,-129.227083333333,51.1729166666667
"32",-250,-129.222916666667,51.1729166666667
"33",-243,-129.21875,51.1729166666667
"34",-233,-129.214583333333,51.1729166666667
"35",-225,-129.210416666667,51.1729166666667
"36",-218,-129.20625,51.1729166666667
"37",-212,-129.202083333333,51.1729166666667
"38",-206,-129.197916666667,51.1729166666667
"39",-200,-129.19375,51.1729166666667
"40",-204,-129.189583333333,51.1729166666667
"41",-273,-129.227083333333,51.1770833333333
"42",-270,-129.222916666667,51.1770833333333
"43",-268,-129.21875,51.1770833333333
"44",-259,-129.214583333333,51.1770833333333
"45",-247,-129.210416666667,51.1770833333333
"46",-238,-129.20625,51.1770833333333
"47",-230,-129.202083333333,51.1770833333333
"48",-225,-129.197916666667,51.1770833333333
"49",-220,-129.19375,51.1770833333333
"50",-224,-129.189583333333,51.1770833333333
"51",-285,-129.227083333333,51.18125
"52",-281,-129.222916666667,51.18125
"53",-279,-129.21875,51.18125
"54",-275,-129.214583333333,51.18125
"55",-271,-129.210416666667,51.18125
"56",-265,-129.20625,51.18125
"57",-263,-129.202083333333,51.18125
"58",-253,-129.197916666667,51.18125
"59",-241,-129.19375,51.18125
"60",-248,-129.189583333333,51.18125
"61",-290,-129.227083333333,51.1854166666667
"62",-288,-129.222916666667,51.1854166666667
"63",-287,-129.21875,51.1854166666667
"64",-286,-129.214583333333,51.1854166666667
"65",-284,-129.210416666667,51.1854166666667
"66",-283,-129.20625,51.1854166666667
"67",-280,-129.202083333333,51.1854166666667
"68",-277,-129.197916666667,51.1854166666667
"69",-273,-129.19375,51.1854166666667
"70",-268,-129.189583333333,51.1854166666667
"71",-288,-129.227083333333,51.1895833333333
"72",-286,-129.222916666667,51.1895833333333
"73",-285,-129.21875,51.1895833333333
"74",-283,-129.214583333333,51.1895833333333
"75",-281,-129.210416666667,51.1895833333333
"76",-281,-129.20625,51.1895833333333
"77",-279,-129.202083333333,51.1895833333333
"78",-278,-129.197916666667,51.1895833333333
"79",-277,-129.19375,51.1895833333333
"80",-277,-129.189583333333,51.1895833333333
"81",-285,-129.227083333333,51.19375
"82",-285,-129.222916666667,51.19375
"83",-283,-129.21875,51.19375
"84",-281,-129.214583333333,51.19375
"85",-279,-129.210416666667,51.19375
"86",-278,-129.20625,51.19375
"87",-276,-129.202083333333,51.19375
"88",-275,-129.197916666667,51.19375
"89",-273,-129.19375,51.19375
"90",-272,-129.189583333333,51.19375
"91",-283,-129.227083333333,51.1979166666667
"92",-282,-129.222916666667,51.1979166666667
"93",-280,-129.21875,51.1979166666667
"94",-281,-129.214583333333,51.1979166666667
"95",-279,-129.210416666667,51.1979166666667
"96",-278,-129.20625,51.1979166666667
"97",-276,-129.202083333333,51.1979166666667
"98",-274,-129.197916666667,51.1979166666667
"99",-271,-129.19375,51.1979166666667
"100",-270,-129.189583333333,51.1979166666667
