"","species","gbifID","class","order","family","genus","decimalLatitude","decimalLongitude","depth","eventDate","day","month","year","SpiculeTypes"
"532205","Cliona californiana","1418662967","Demospongiae","Clionaida","Clionaidae","Cliona","24.202753","-110.300669",1.5,"2012-09-17T00:00:00",17,9,2012,2
"532209","Cliona californiana","1418663552","Demospongiae","Clionaida","Clionaidae","Cliona","25.615833","-108.969722",2,"2002-11-12T00:00:00",12,11,2002,2
"532217","Cliona californiana","4046101304","Demospongiae","Clionaida","Clionaidae","Cliona","44.75343","-124.07315",14.02,"2011-09-14T00:00:00",14,9,2011,2
"532218","Cliona californiana","1418663766","Demospongiae","Clionaida","Clionaidae","Cliona","23.208056","-106.427778",1,"2001-10-08T00:00:00",8,10,2001,2
"532227","Cliona californiana","1418661565","Demospongiae","Clionaida","Clionaidae","Cliona","27.868056","-110.950278",4,"2002-11-27T00:00:00",27,11,2002,2
"532228","Cliona californiana","1418662947","Demospongiae","Clionaida","Clionaidae","Cliona","25.582778","-109.015555",1,"2002-11-12T00:00:00",12,11,2002,2
"532229","Cliona californiana","1418663179","Demospongiae","Clionaida","Clionaidae","Cliona","25.540833","-109.091389",2,"2012-09-19T00:00:00",19,9,2012,2
"532233","Cliona californiana","1418663755","Demospongiae","Clionaida","Clionaidae","Cliona","27.884722","-110.965278",3,"2002-11-27T00:00:00",27,11,2002,2
"532239","Cliona californiana","1418661702","Demospongiae","Clionaida","Clionaidae","Cliona","28.311111","-112.392222",7.5,"2004-11-24T00:00:00",24,11,2004,2
"532243","Cliona californiana","1418663902","Demospongiae","Clionaida","Clionaidae","Cliona","29.581111","-112.486944",10.8,"2004-11-25T00:00:00",25,11,2004,2
"532250","Cliona californiana","1418661941","Demospongiae","Clionaida","Clionaidae","Cliona","21.849722","-105.879444",2.5,"2006-07-14T00:00:00",14,7,2006,2
"532251","Cliona californiana","1418663288","Demospongiae","Clionaida","Clionaidae","Cliona","21.855833","-105.8925",10.5,"2003-10-12T00:00:00",12,10,2003,2
"532260","Cliona californiana","1418662655","Demospongiae","Clionaida","Clionaidae","Cliona","27.872222","-110.868889",2,"2002-11-26T00:00:00",26,11,2002,2
"532269","Cliona californiana","1418663858","Demospongiae","Clionaida","Clionaidae","Cliona","25.536667","-109.0925",0.5,"2002-11-13T00:00:00",13,11,2002,2
"532270","Cliona californiana","1418663244","Demospongiae","Clionaida","Clionaidae","Cliona","21.855833","-105.8925",10.5,"2003-12-10T00:00:00",10,12,2003,2
"532276","Cliona californiana","1418661599","Demospongiae","Clionaida","Clionaidae","Cliona","27.868056","-110.950278",5,"2002-11-27T00:00:00",27,11,2002,2
"532281","Cliona californiana","1418662247","Demospongiae","Clionaida","Clionaidae","Cliona","24.425556","-110.348611",0.25,"2007-03-12T00:00:00",12,3,2007,2
"532285","Cliona californiana","1418661741","Demospongiae","Clionaida","Clionaidae","Cliona","15.687528","-96.442253",1.5,"2013-03-10T00:00:00",10,3,2013,2
"532286","Cliona californiana","1418661563","Demospongiae","Clionaida","Clionaidae","Cliona","18.816389","-111.045",0.25,"2008-05-05T00:00:00",5,5,2008,2
"532293","Cliona californiana","1418663931","Demospongiae","Clionaida","Clionaidae","Cliona","28.898611","-113.523333",2.5,"2005-10-12T00:00:00",12,10,2005,2
"532294","Cliona californiana","3028026716","Demospongiae","Clionaida","Clionaidae","Cliona","43.3081","-124.399",0.5,"2019-06-04T00:00:00",4,6,2019,2
"532297","Cliona californiana","1418663722","Demospongiae","Clionaida","Clionaidae","Cliona","27.884722","-110.965278",4,"2002-11-27T00:00:00",27,11,2002,2
"532301","Cliona californiana","1418662030","Demospongiae","Clionaida","Clionaidae","Cliona","24.888889","-108.1125",1,"2013-06-28T00:00:00",28,6,2013,2
"532302","Cliona californiana","1418661978","Demospongiae","Clionaida","Clionaidae","Cliona","28.786667","-112.251667",3,"2001-04-27T00:00:00",27,4,2001,2
"532303","Cliona californiana","1418662299","Demospongiae","Clionaida","Clionaidae","Cliona","25.581944","-109.114444",2,"2002-11-14T00:00:00",14,11,2002,2
"532305","Cliona californiana","1418662783","Demospongiae","Clionaida","Clionaidae","Cliona","18.736111","-110.960278",3,"2008-05-06T00:00:00",6,5,2008,2
"532310","Cliona californiana","1418662008","Demospongiae","Clionaida","Clionaidae","Cliona","25.606944","-109.075833",0.75,"2002-11-14T00:00:00",14,11,2002,2
"532312","Cliona californiana","1418663204","Demospongiae","Clionaida","Clionaidae","Cliona","25.540833","-109.091389",2,"2012-09-19T00:00:00",19,9,2012,2
"532316","Cliona californiana","1418661410","Demospongiae","Clionaida","Clionaidae","Cliona","27.909722","-110.971389",7.5,"2000-11-03T00:00:00",3,11,2000,2
"532317","Cliona californiana","1418663826","Demospongiae","Clionaida","Clionaidae","Cliona","20.534722","-105.301111",2,"2002-04-08T00:00:00",8,4,2002,2
"532320","Cliona californiana","1418663586","Demospongiae","Clionaida","Clionaidae","Cliona","26.762333","-111.891478",2,"2012-09-15T00:00:00",15,9,2012,2
"532330","Cliona californiana","1418663201","Demospongiae","Clionaida","Clionaidae","Cliona","25.540833","-109.091389",0.5,"2002-11-13T00:00:00",13,11,2002,2
"532334","Cliona californiana","1418661913","Demospongiae","Clionaida","Clionaidae","Cliona","31.337222","-113.636944",2,"2005-03-04T00:00:00",4,3,2005,2
"532339","Cliona californiana","1418662573","Demospongiae","Clionaida","Clionaidae","Cliona","24.545278","-108.128333",26.5,"2002-11-18T00:00:00",18,11,2002,2
"532347","Cliona californiana","1418662041","Demospongiae","Clionaida","Clionaidae","Cliona","23.183889","-106.426944",3.5,"2003-09-12T00:00:00",12,9,2003,2
"532361","Cliona californiana","1418662704","Demospongiae","Clionaida","Clionaidae","Cliona","27.872222","-110.868889",2,"2002-11-26T00:00:00",26,11,2002,2
"532362","Cliona californiana","1418663315","Demospongiae","Clionaida","Clionaidae","Cliona","21.855833","-105.8925",6.5,"2003-12-11T00:00:00",11,12,2003,2
"532365","Cliona californiana","1418663699","Demospongiae","Clionaida","Clionaidae","Cliona","27.872222","-110.868889",2,"2012-09-05T00:00:00",5,9,2012,2
"532376","Cliona californiana","1418663834","Demospongiae","Clionaida","Clionaidae","Cliona","25.581944","-109.058889",2,"2002-11-12T00:00:00",12,11,2002,2
"532397","Cliona californiana","1418662418","Demospongiae","Clionaida","Clionaidae","Cliona","24.438889","-107.942222",16,"2002-11-16T00:00:00",16,11,2002,2
